name,description,stars,forks,language,keywords,platform,package_manager_url,homepage,repository_url,status,rank
transformers,"State-of-the-art Machine Learning for JAX, PyTorch and TensorFlow",80211,17916,Python,"NLP, vision, speech, deep, learning, transformer, pytorch, tensorflow, BERT, GPT-2, Wav2Vec2, ViT, deep-learning, flax, hacktoberfest, jax, language-model, language-models, machine-learning, model-hub, natural-language-processing, nlp-library, pretrained-models, python, pytorch-transformers, seq2seq, speech-recognition",Pypi,https://pypi.org/project/transformers/,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,,24
torchvision,image and video datasets and models for torch deep learning,13209,6485,Python,"computer-vision, machine-learning",Pypi,https://pypi.org/project/torchvision/,https://github.com/pytorch/vision,https://github.com/pytorch/vision,,23
pytorch-transformers,"Repository of pre-trained NLP Transformer models: BERT & RoBERTa, GPT & GPT-2, Transformer-XL, XLNet and XLM",80211,17916,Python,"NLP, deep, learning, transformer, pytorch, BERT, GPT, GPT-2, google, openai, CMU, deep-learning, flax, hacktoberfest, jax, language-model, language-models, machine-learning, model-hub, natural-language-processing, nlp-library, pretrained-models, python, pytorch-transformers, seq2seq, speech-recognition, tensorflow",Pypi,https://pypi.org/project/pytorch-transformers/,https://github.com/huggingface/pytorch-transformers,https://github.com/huggingface/pytorch-transformers,,21
fastai,fastai simplifies training fast and accurate neural nets using modern best practices,23382,7347,Jupyter Notebook,"fastai, deep, learning, machine, colab, deep-learning, gpu, machine-learning, notebooks, python, pytorch",Pypi,https://pypi.org/project/fastai/,https://github.com/fastai/fastai,https://github.com/fastai/fastai,,21
pytorch-lightning,PyTorch Lightning is the lightweight PyTorch wrapper for ML researchers. Scale your models. Write less boilerplate.,21545,2745,Python,"deep, learning, pytorch, AI, artificial-intelligence, data-science, deep-learning, machine-learning, python",Pypi,https://pypi.org/project/pytorch-lightning/,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,,21
torchtext,Text utilities and datasets for PyTorch,3197,777,Python,"data-loader, dataset, deep-learning, nlp, pytorch",Pypi,https://pypi.org/project/torchtext/,https://github.com/pytorch/text,https://github.com/pytorch/text,,21
datasets,HuggingFace community-driven open-source library of datasets,15149,2002,Python,"datasets, machine, learning, metrics, computer-vision, deep-learning, evaluation, hacktoberfest, machine-learning, natural-language-processing, nlp, numpy, pandas, pytorch, speech, tensorflow",Pypi,https://pypi.org/project/datasets/,https://github.com/huggingface/datasets,https://github.com/huggingface/datasets,,20
pytorch-pretrained-bert,PyTorch version of Google AI BERT model with script to load Google pre-trained models,80211,17916,Python,"BERT, NLP, deep, learning, google, deep-learning, flax, hacktoberfest, jax, language-model, language-models, machine-learning, model-hub, natural-language-processing, nlp-library, pretrained-models, python, pytorch, pytorch-transformers, seq2seq, speech-recognition, tensorflow, transformer",Pypi,https://pypi.org/project/pytorch-pretrained-bert/,https://github.com/huggingface/pytorch-pretrained-BERT,https://github.com/huggingface/pytorch-pretrained-BERT,,20
thinc,"A refreshing functional take on deep learning, compatible with your favorite libraries",2665,270,Python,"ai, artificial-intelligence, deep-learning, functional-programming, jax, machine-learning, machine-learning-library, mxnet, natural-language-processing, nlp, python, pytorch, spacy, tensorflow, type-checking",Pypi,https://pypi.org/project/thinc/,https://github.com/explosion/thinc,https://github.com/explosion/thinc,,20
allennlp,"An open-source NLP research library, built on PyTorch.",11383,2235,Python,"allennlp, NLP, deep, learning, machine, reading, data-science, deep-learning, natural-language-processing, python, pytorch",Pypi,https://pypi.org/project/allennlp/,https://github.com/allenai/allennlp,https://github.com/allenai/allennlp,,19
optuna,A hyperparameter optimization framework,7526,797,Python,"distributed, hacktoberfest, hyperparameter-optimization, machine-learning, parallel, python",Pypi,https://pypi.org/project/optuna/,https://optuna.org/,https://github.com/optuna/optuna,,19
pyro-ppl,A Python library for probabilistic modeling and inference,7770,958,Python,"machine, learning, statistics, probabilistic, programming, bayesian, modeling, pytorch, bayesian-inference, deep-learning, machine-learning, probabilistic-modeling, probabilistic-programming, python, variational-inference",Pypi,https://pypi.org/project/pyro-ppl/,http://pyro.ai,https://github.com/pyro-ppl/pyro,,18
diffusers,Diffusers,10542,2076,Python,"deep, learning, deep-learning, diffusion, hacktoberfest, image-generation, image2image, pytorch, score-based-generative-modeling, stable-diffusion, text2image",Pypi,https://pypi.org/project/diffusers/,https://github.com/huggingface/diffusers,https://github.com/huggingface/diffusers,,17
pythainlp,Thai Natural Language Processing library,774,238,Python,"pythainlp, NLP, natural, language, processing, text, analytics, localization, computational, linguistics, ThaiNLP, Thai, hacktoberfest, hacktoberfest2022, natural-language-processing, nlp-library, python, soundex, thai-language, thai-nlp, thai-nlp-library, thai-soundex, word-segmentation",Pypi,https://pypi.org/project/pythainlp/,https://github.com/PyThaiNLP/pythainlp,https://github.com/PyThaiNLP/pythainlp,,17
fastcore,Python supercharged for fastai development,816,237,Jupyter Notebook,"python, data-structures, developer-tools, dispatch, documentation-generator, fastai, functional-programming, languages, parallel-processing",Pypi,https://pypi.org/project/fastcore/,https://github.com/fastai/fastcore/,https://github.com/fastai/fastcore,,17
accelerate,Accelerate,3608,323,Python,"deep, learning",Pypi,https://pypi.org/project/accelerate/,https://github.com/huggingface/accelerate,https://github.com/huggingface/accelerate,,17
neptune-client,Neptune Client,366,37,Python,"MLOps, ML, Experiment, Tracking, Model, Registry, Store, Metadata, comparison, dl, keras, learning, lightgbm, logger, logging, machine, monitoring, optimization, optuna, pytorch, repository, rl, tensorflow, versioning, visualization, xgboost",Pypi,https://pypi.org/project/neptune-client/,https://neptune.ai/,https://github.com/neptune-ai/neptune-client,,17
stable-baselines3,"Pytorch version of Stable Baselines, implementations of reinforcement learning algorithms.",4880,1080,Python,"reinforcement-learning-algorithms, reinforcement-learning, machine-learning, gym, openai, stable, baselines, toolbox, python, data-science, gsde, pytorch, robotics, sb3, sde, stable-baselines",Pypi,https://pypi.org/project/stable-baselines3/,https://github.com/DLR-RM/stable-baselines3,https://github.com/DLR-RM/stable-baselines3,,17
gymnasium,A standard API for reinforcement learning and a diverse set of reference environments (formerly Gym).,1318,149,Python,"Reinforcement, Learning, game, RL, AI, gymnasium",Pypi,https://pypi.org/project/gymnasium/,https://gymnasium.farama.org,https://github.com/Farama-Foundation/Gymnasium,,17
easyocr,End-to-End Multi-Lingual Optical Character Recognition (OCR) Solution,17041,2463,Python,"ocr, optical, character, recognition, deep, learning, neural, network, cnn, crnn, data-mining, deep-learning, easyocr, image-processing, information-retrieval, lstm, machine-learning, optical-character-recognition, python, pytorch, scene-text, scene-text-recognition",Pypi,https://pypi.org/project/easyocr/,https://github.com/jaidedai/easyocr,https://github.com/jaidedai/easyocr,,17
monai,AI Toolkit for Healthcare Imaging,3786,727,Python,"deep-learning, healthcare-imaging, medical-image-computing, medical-image-processing, monai, python3, pytorch",Pypi,https://pypi.org/project/monai/,https://monai.io/,https://github.com/Project-MONAI/MONAI,,17
gpytorch,An implementation of Gaussian Processes in Pytorch,2997,473,Python,"gaussian-processes, gpu-acceleration, pytorch",Pypi,https://pypi.org/project/gpytorch/,https://gpytorch.ai,https://github.com/cornellius-gp/gpytorch,,17
stanza,"A Python NLP Library for Many Human Languages, by the Stanford NLP Group",6476,842,Python,"natural-language-processing, nlp, natural-language-understanding, stanford-nlp, deep-learning, artificial-intelligence, corenlp, machine-learning, named-entity-recognition, python, pytorch, universal-dependencies",Pypi,https://pypi.org/project/stanza/,https://github.com/stanfordnlp/stanza,https://github.com/stanfordnlp/stanza,,17
gfpgan,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration,26235,4032,Python,"computer, vision, pytorch, image, restoration, super-resolution, face, gan, gfpgan, deep-learning, face-restoration, image-restoration",Pypi,https://pypi.org/project/gfpgan/,https://github.com/TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN,,16
lightning,"Use Lightning Apps to build everything from production-ready, multi-cloud ML systems to simple research demos.",21545,2745,Python,"deep, learning, pytorch, AI, artificial-intelligence, data-science, deep-learning, machine-learning, python",Pypi,https://pypi.org/project/lightning/,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,,16
ultralytics,Ultralytics YOLOv8,4007,632,Python,"machine-learning, deep-learning, vision, ML, DL, AI, YOLO, YOLOv3, YOLOv5, YOLOv8, HUB, Ultralytics",Pypi,https://pypi.org/project/ultralytics/,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,,16
torchaudio,An audio package for PyTorch,1967,517,Python,"audio, audio-processing, io, machine-learning, python, pytorch, speech",Pypi,https://pypi.org/project/torchaudio/,https://github.com/pytorch/audio,https://github.com/pytorch/audio,,16
vit-pytorch,Vision Transformer (ViT) - Pytorch,12835,2138,Python,"artificial, intelligence, attention, mechanism, image, recognition, artificial-intelligence, attention-mechanism, computer-vision, image-classification, transformers",Pypi,https://pypi.org/project/vit-pytorch/,https://github.com/lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,,16
shap,A unified approach to explain the output of any machine learning model.,665,0,Jupyter Notebook,,Pypi,https://pypi.org/project/shap/,http://github.com/slundberg/shap,https://github.com/slundberg/shap,,16
deepchem,"Deep learning models for drug discovery,         quantum chemistry, and the life sciences.",4125,1456,Python,"deepchem, chemistry, biology, materials-science, life-science, drug-discovery, deep-learning, hacktoberfest, quantum-chemistry",Pypi,https://pypi.org/project/deepchem/,https://github.com/deepchem/deepchem,https://github.com/deepchem/deepchem,,16
flax,Flax: A neural network library for JAX designed for flexibility,4010,471,Python,jax,Pypi,https://pypi.org/project/flax/,https://github.com/google/flax,https://github.com/google/flax,,16
open-clip-torch,OpenCLIP,3257,346,Python,"CLIP, pretrained, computer-vision, contrastive-loss, deep-learning, language-model, multi-modal-learning, pretrained-models, pytorch, zero-shot-classification",Pypi,https://pypi.org/project/open-clip-torch/,https://github.com/mlfoundations/open_clip,https://github.com/mlfoundations/open_clip,,16
